model,dataset,init,seed,layer,hessian_trace
resnet50_no_weights,CIFAR10,trained_fp32,,conv1.weight,13.87340584397316
resnet50_no_weights,CIFAR10,trained_fp32,,layer1.0.conv1.weight,4.2047243172472175
resnet50_no_weights,CIFAR10,trained_fp32,,layer1.0.conv2.weight,5.190635684658499
resnet50_no_weights,CIFAR10,trained_fp32,,layer1.0.conv3.weight,2.586037952166337
resnet50_no_weights,CIFAR10,trained_fp32,,layer1.0.downsample.0.weight,20.265618324279785
resnet50_no_weights,CIFAR10,trained_fp32,,layer1.1.conv1.weight,2.5408404697390163
resnet50_no_weights,CIFAR10,trained_fp32,,layer1.1.conv2.weight,3.9050083330699374
resnet50_no_weights,CIFAR10,trained_fp32,,layer1.1.conv3.weight,2.204062024377427
resnet50_no_weights,CIFAR10,trained_fp32,,layer1.2.conv1.weight,4.488950221702971
resnet50_no_weights,CIFAR10,trained_fp32,,layer1.2.conv2.weight,13.160799162728447
resnet50_no_weights,CIFAR10,trained_fp32,,layer1.2.conv3.weight,5.904548158771114
resnet50_no_weights,CIFAR10,trained_fp32,,layer2.0.conv1.weight,14.464818600452308
resnet50_no_weights,CIFAR10,trained_fp32,,layer2.0.conv2.weight,25.021796570883858
resnet50_no_weights,CIFAR10,trained_fp32,,layer2.0.conv3.weight,28.802203347947863
resnet50_no_weights,CIFAR10,trained_fp32,,layer2.0.downsample.0.weight,37.92332940631442
resnet50_no_weights,CIFAR10,trained_fp32,,layer2.1.conv1.weight,3.616932959392153
resnet50_no_weights,CIFAR10,trained_fp32,,layer2.1.conv2.weight,7.742825453622
resnet50_no_weights,CIFAR10,trained_fp32,,layer2.1.conv3.weight,8.992502245409735
resnet50_no_weights,CIFAR10,trained_fp32,,layer2.2.conv1.weight,4.8628482294082644
resnet50_no_weights,CIFAR10,trained_fp32,,layer2.2.conv2.weight,8.932546382254742
resnet50_no_weights,CIFAR10,trained_fp32,,layer2.2.conv3.weight,7.383814159704714
resnet50_no_weights,CIFAR10,trained_fp32,,layer2.3.conv1.weight,6.131346010026478
resnet50_no_weights,CIFAR10,trained_fp32,,layer2.3.conv2.weight,14.234968423843384
resnet50_no_weights,CIFAR10,trained_fp32,,layer2.3.conv3.weight,8.920452177524567
resnet50_no_weights,CIFAR10,trained_fp32,,layer3.0.conv1.weight,43.65346607507444
resnet50_no_weights,CIFAR10,trained_fp32,,layer3.0.conv2.weight,39.23602763584682
resnet50_no_weights,CIFAR10,trained_fp32,,layer3.0.conv3.weight,31.71719060625349
resnet50_no_weights,CIFAR10,trained_fp32,,layer3.0.downsample.0.weight,43.36432075500488
resnet50_no_weights,CIFAR10,trained_fp32,,layer3.1.conv1.weight,7.742639541625977
resnet50_no_weights,CIFAR10,trained_fp32,,layer3.1.conv2.weight,22.998466265828984
resnet50_no_weights,CIFAR10,trained_fp32,,layer3.1.conv3.weight,12.296621070188635
resnet50_no_weights,CIFAR10,trained_fp32,,layer3.2.conv1.weight,12.35165810585022
resnet50_no_weights,CIFAR10,trained_fp32,,layer3.2.conv2.weight,25.60634644135185
resnet50_no_weights,CIFAR10,trained_fp32,,layer3.2.conv3.weight,13.004492335849339
resnet50_no_weights,CIFAR10,trained_fp32,,layer3.3.conv1.weight,17.279966680015004
resnet50_no_weights,CIFAR10,trained_fp32,,layer3.3.conv2.weight,35.38519489063936
resnet50_no_weights,CIFAR10,trained_fp32,,layer3.3.conv3.weight,17.255826626505172
resnet50_no_weights,CIFAR10,trained_fp32,,layer3.4.conv1.weight,18.534919905662537
resnet50_no_weights,CIFAR10,trained_fp32,,layer3.4.conv2.weight,28.070120221092587
resnet50_no_weights,CIFAR10,trained_fp32,,layer3.4.conv3.weight,14.694684519086564
resnet50_no_weights,CIFAR10,trained_fp32,,layer3.5.conv1.weight,19.427258359061348
resnet50_no_weights,CIFAR10,trained_fp32,,layer3.5.conv2.weight,12.668171405792236
resnet50_no_weights,CIFAR10,trained_fp32,,layer3.5.conv3.weight,5.978722132169283
